Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,collected_by,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,LENGTH_(CM),Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,REPLICATE,create_date,version,Sample Name,SAMPLE_TYPE,sex,SRA Study,store_cond,Strain,TISSUE
SRR11205606,not collected,RAD-Seq,302,3486876296,PRJNA504598,SAMN14148350,Model organism or animal,not applicable,1197538141,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818887,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1127,51,TX_1127,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:29:00Z,1,TX_1127,tissue sample,female,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205607,not collected,RAD-Seq,302,3582388930,PRJNA504598,SAMN14148349,Model organism or animal,not applicable,1219535730,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818886,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1126,55,TX_1126,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:32:00Z,1,TX_1126,tissue sample,male,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205608,not collected,RAD-Seq,302,2393302284,PRJNA504598,SAMN14148348,Model organism or animal,not applicable,824446401,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Christopher Manley,8/22/17,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818885,USA,North America,USA: Texas,Illumina NovaSeq 6000,Blackfin tuna - Texas 1125,47.5,TX_1125,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:27:00Z,1,TX_1125,tissue sample,female,SRP251054,20% DMSO-EDTA,not applicable,Fin Clip
SRR11205609,not collected,RAD-Seq,222,1256958450,PRJNA504598,SAMN14147820,Model organism or animal,not applicable,516273419,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,"Pollyana Roque\, Fabio Hazin",10/16/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,not collected,SRX7818884,Brazil,South America,Brazil: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Brazil 1284,56.2,BRZ_1284,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:25:00Z,1,BRZ_1284,tissue sample,missing,SRP251054,20% DMSO-EDTA,not applicable,Muscle
SRR11205610,not collected,RAD-Seq,296,3176462044,PRJNA504598,SAMN14148170,Model organism or animal,not applicable,1185366129,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,9/13/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818883,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 967,51.6,PR_967,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:28:00Z,1,PR_967,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205611,not collected,RAD-Seq,293,3672969172,PRJNA504598,SAMN14148169,Model organism or animal,not applicable,1384691353,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,9/13/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818882,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 966,37.8,PR_966,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:43:00Z,1,PR_966,tissue sample,missing,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205612,not collected,RAD-Seq,302,1871347832,PRJNA504598,SAMN14148168,Model organism or animal,not applicable,650505075,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,9/13/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818881,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 965,37.5,PR_965,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:26:00Z,1,PR_965,tissue sample,missing,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205613,not collected,RAD-Seq,302,4461620254,PRJNA504598,SAMN14148167,Model organism or animal,not applicable,1530215928,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,9/13/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818880,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 964,37.8,PR_964,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:31:00Z,1,PR_964,tissue sample,missing,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205614,not collected,RAD-Seq,302,3978904360,PRJNA504598,SAMN14148166,Model organism or animal,not applicable,1356478126,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,9/13/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818879,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 963,43.3,PR_963,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:30:00Z,1,PR_963,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205615,not collected,RAD-Seq,302,1267763686,PRJNA504598,SAMN14148165,Model organism or animal,not applicable,440223495,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,9/13/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818878,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 962,44.5,PR_962,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:25:00Z,1,PR_962,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205616,not collected,RAD-Seq,302,1366700396,PRJNA504598,SAMN14148164,Model organism or animal,not applicable,472908577,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,9/13/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818877,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 961,49.4,PR_961,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:25:00Z,1,PR_961,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205617,not collected,RAD-Seq,302,2103819580,PRJNA504598,SAMN14148163,Model organism or animal,not applicable,734483778,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,9/13/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818876,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 960,43.8,PR_960,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:27:00Z,1,PR_960,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205618,not collected,RAD-Seq,302,870398126,PRJNA504598,SAMN14148162,Model organism or animal,not applicable,303969115,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,9/13/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818875,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 959,39.8,PR_959,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:25:00Z,1,PR_959,tissue sample,missing,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205619,not collected,RAD-Seq,302,1439594438,PRJNA504598,SAMN14148161,Model organism or animal,not applicable,506249980,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,9/13/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818874,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 958,35.3,PR_958,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:26:00Z,1,PR_958,tissue sample,missing,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205620,not collected,RAD-Seq,222,625697010,PRJNA504598,SAMN14147819,Model organism or animal,not applicable,256961962,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,"Pollyana Roque\, Fabio Hazin",10/16/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,not collected,SRX7818873,Brazil,South America,Brazil: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Brazil 1283,55.7,BRZ_1283,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:26:00Z,1,BRZ_1283,tissue sample,missing,SRP251054,20% DMSO-EDTA,not applicable,Muscle
SRR11205621,not collected,RAD-Seq,302,2093361018,PRJNA504598,SAMN14148160,Model organism or animal,not applicable,768887518,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,9/13/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818872,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 957,41.7,PR_957,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:27:00Z,1,PR_957,tissue sample,female,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205622,not collected,RAD-Seq,302,1048018520,PRJNA504598,SAMN14148159,Model organism or animal,not applicable,386712068,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,9/13/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818871,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 956,35.9,PR_956,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:25:00Z,1,PR_956,tissue sample,missing,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205623,not collected,RAD-Seq,302,1544771676,PRJNA504598,SAMN14148158,Model organism or animal,not applicable,573329022,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,9/13/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818870,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 955,34.1,PR_955,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:26:00Z,1,PR_955,tissue sample,missing,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205624,not collected,RAD-Seq,302,1925530256,PRJNA504598,SAMN14148157,Model organism or animal,not applicable,707725394,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/20/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818869,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 954,42.1,PR_954,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:27:00Z,1,PR_954,tissue sample,missing,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205625,not collected,RAD-Seq,302,1108160914,PRJNA504598,SAMN14148156,Model organism or animal,not applicable,412553531,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818868,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 953,missing,PR_953,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:25:00Z,1,PR_953,tissue sample,female,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205626,not collected,RAD-Seq,302,1516858420,PRJNA504598,SAMN14148155,Model organism or animal,not applicable,568744265,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818867,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 952,44.7,PR_952,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:26:00Z,1,PR_952,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205627,not collected,RAD-Seq,302,1190847306,PRJNA504598,SAMN14148154,Model organism or animal,not applicable,428275942,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818866,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 951,51.3,PR_951,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:26:00Z,1,PR_951,tissue sample,female,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205628,not collected,RAD-Seq,302,2198277328,PRJNA504598,SAMN14148153,Model organism or animal,not applicable,803308261,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818865,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 950,56.9,PR_950,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:44:00Z,1,PR_950,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205629,not collected,RAD-Seq,302,1332554464,PRJNA504598,SAMN14148152,Model organism or animal,not applicable,506203856,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818864,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 949,46.5,PR_949,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:26:00Z,1,PR_949,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205630,not collected,RAD-Seq,302,988521198,PRJNA504598,SAMN14148151,Model organism or animal,not applicable,377532423,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818863,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 948,52.1,PR_948,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:26:00Z,1,PR_948,tissue sample,female,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205631,not collected,RAD-Seq,222,248240622,PRJNA504598,SAMN14147818,Model organism or animal,not applicable,103116175,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,"Pollyana Roque\, Fabio Hazin",10/16/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,not collected,SRX7818862,Brazil,South America,Brazil: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Brazil 1282,53.2,BRZ_1282,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:24:00Z,1,BRZ_1282,tissue sample,missing,SRP251054,20% DMSO-EDTA,not applicable,Muscle
SRR11205632,not collected,RAD-Seq,302,901515300,PRJNA504598,SAMN14148150,Model organism or animal,not applicable,342820651,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818861,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 947,46.5,PR_947,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:25:00Z,1,PR_947,tissue sample,female,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205633,not collected,RAD-Seq,302,1223150132,PRJNA504598,SAMN14148149,Model organism or animal,not applicable,463300810,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818860,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 946,47.7,PR_946,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:26:00Z,1,PR_946,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205634,not collected,RAD-Seq,302,2698054108,PRJNA504598,SAMN14148148,Model organism or animal,not applicable,987093971,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818859,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 945,48.7,PR_945,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:29:00Z,1,PR_945,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205635,not collected,RAD-Seq,302,809482914,PRJNA504598,SAMN14148147,Model organism or animal,not applicable,313056172,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818858,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 944,56.6,PR_944,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:26:00Z,1,PR_944,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205636,not collected,RAD-Seq,302,1218730664,PRJNA504598,SAMN14148146,Model organism or animal,not applicable,441471168,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818857,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 943,47.1,PR_943,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:26:00Z,1,PR_943,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205637,not collected,RAD-Seq,302,1738526118,PRJNA504598,SAMN14148145,Model organism or animal,not applicable,654964063,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818856,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 942,44.2,PR_942,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:27:00Z,1,PR_942,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205638,not collected,RAD-Seq,274,189361826,PRJNA504598,SAMN14148144,Model organism or animal,not applicable,90558925,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818855,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 941,48,PR_941,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-03-02T14:07:00Z,1,PR_941,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205639,not collected,RAD-Seq,275,73605492,PRJNA504598,SAMN14148143,Model organism or animal,not applicable,36127143,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",immature,not collected,SRX7818854,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 940,53.8,PR_940,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-03-02T14:04:00Z,1,PR_940,tissue sample,male,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205640,not collected,RAD-Seq,295,3503109798,PRJNA504598,SAMN14148142,Model organism or animal,not applicable,1540334727,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Marcos Hanke,8/7/16,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",mature,not collected,SRX7818853,Puerto Rico,North America,Puerto Rico: Atlantic Ocean,Illumina NovaSeq 6000,Blackfin tuna - Puerto Rico 939,47.9,PR_939,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-03-02T15:35:00Z,1,PR_939,tissue sample,female,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
SRR11205641,not collected,RAD-Seq,222,52238598,PRJNA504598,SAMN14147997,Model organism or animal,not applicable,22869486,UNIVERSITY OF SOUTHERN MISSISSIPPI GULF COAST RESEARCH LAB,Kelly Sullivan,missing,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",missing,not collected,SRX7818852,USA,North America,USA: Florida Keys,Illumina NovaSeq 6000,Blackfin tuna - Florida Keys 1414,missing,KEY_1414,PAIRED,Restriction Digest,GENOMIC,Thunnus atlanticus,ILLUMINA,2020-03-31T00:00:00Z,FALSE,2020-02-28T14:24:00Z,1,KEY_1414,tissue sample,missing,SRP251054,90% Ethanol,not applicable,"Fin Clip\, Muscle"
